Albania,albania.png,66,Albanian
Algeria,algeria.png,29,Algerian
Argentina,argentina.png,5,Argentine
Armenia,armenia.png,92,Armenian
Australia,australia.png,35,Australian
Austria,austria.png,31,Austrian
Bahrain,bahrain.png,91,Bahraini
Belgium,belgium.png,1,Belgian
Benin,benin.png,83,Beninese
Belarus,belarus.png,94,Belarussian
Bolivia,bolivia.png,77,Bolivian
Bosnia and Herzegovina,bosnia and herzegovina.png,61,Bosnian
Brazil,brazil.png,2,Brazilian
Bulgaria,bulgaria.png,71,Bulgarian
Burkina Faso,burkina faso.png,60,Burkinan
Cape Verde,cape verde.png,73,Cape Verdean
Cameroon,cameroon.png,50,Cameroonian
Canada,canada.png,40,Canadian
Chile,chile.png,24,Chilean
China,china.png,74,Chinese
Colombia,colombia.png,16,Columbian
Congo RD,congo rd.png,64,Congolese
Congo,congo.png,97,Congolese
Costa Rica,costa rica.png,49,Costa Rican
Ivory Coast,ivory coast.png,56,Ivorian
Croatia,croatia.png,15,Croatian
Curazao,curazao.png,80,Curazaian
Czech Republic,czech republic.png,32,Czech
Denmark,denmark.png,9,Danish
Ecuador,ecuador.png,46,Ecuadorian
Egypt,egypt.png,45,Egyptian
El Salvador,el salvador.png,70,Salvadorean
England,england.png,4,English
Finland,finland.png,58,Finn
France,france.png,3,French
Gabon,gabon.png,89,Gabonese
Georgia,georgia.png,85,Georgian
Germany,germany.png,12,German
Ghana,ghana.png,52,Ghanaian
Greece,greece.png,55,Greek
Guinea,guinea.png,81,Guinean
Haiti,haiti.png,87,Haitian
Honduras,honduras.png,76,Honduran
Hungry,hungry.png,39,Hungarian
Iceland,iceland.png,62,Islander
Iraq,iraq.png,75,Iraqi
Iran,iran.png,21,Iranian
Ireland,ireland.png,47,Irish
Israel,israel.png,78,Israeli
Italy,italy.png,6,Italian
Jamaica,jamaica.png,57,Jamaican
Japan,japan.png,26,Japanese
Jordan,jordan.png,90,Jordanian
Kyrgystan,kyrgystan.png,96,Kyrgyzstani
South Korea,south korea.png,33,South Korean
Lebanon,lebanon.png,95,Lebanese
Luxembourg,luxembourg.png,93,Luxembourger
Macedonia,macedonia.png,67,Macedonian
Mali,mali.png,53,Malian
Mexico,mexico.png,14,Mexican
Montenegro,montenegro.png,72,Montenegrin
Morocco,morocco.png,28,Moroccan
Netherlands,netherlands.png,10,Dutch
Nigeria,nigeria.png,36,Nigerian
Northern Ireland,northern ireland.png,54,Northern Irish
Norway,norway.png,41,Norwegian
Oman,oman.png,79,Omani
Palestine,palestine.png,99,Palestinian
Panama,panama.png,63,Panamanian
Paraguay,paraguay.png,43,Paraguayan
Peru,peru.png,22,Peruvian
Poland,poland.png,27,Polish
Portugal,portugal.png,8,Portugese
Qatar,qatar.png,48,Qatari
Romania,romania.png,44,Romanian
Russia,russia.png,34,Russian
Saudi Arabia,saudi arabia.png,51,Saudi
Scotland,scotland.png,38,Scottish
Senegal,senegal.png,20,Senegalese
Serbia,serbia.png,23,Serbian
Syria,syria.png,86,Syrian
Slovak Republic,slovak republic.png,42,Slovakian
Slovenia,slovenia.png,65,Slovenian
South Africa,south africa.png,68,South African
Spain,spain.png,7,Spanish
Sweden,sweden.png,18,Swedish
Switzerland,switzerland.png,13,Swiss
Trinidad and Tobago,trinidad and tobago.png,100,Trinidadian
Tunisia,tunisia.png,30,Tunisian
Turkey,turkey.png,37,Turk
Uganda,uganda.png,82,Ugandan
Ukraine,ukraine.png,25,Ukrainian
The United Arab Emirate,the united arab emirate.png,69,Emirati
Uruguay,uruguay.png,17,Uruguayan
USA,usa.png,11,American
Uzbekistan,uzbekistan.png,84,Uzbek
Venezuela,venezuela.png,59,Venezuelan
Vietnam,vietnam.png,98,Vietnamese
Wales,wales.png,19,Welsh
Zambia,zambia.png,88,Zambian